scenario,births_m24,enrolments_m24,total_receipts_m24,midwifery_costs_m24,clinician_costs_m24,board_facility_m24,total_costs_m24,net_cashflow_m12,net_cashflow_m24,cumulative_cash_m24,breakeven_month
base,52,50,2616488,96720,420910,269360,786990,50665,163318,1399723,1
conservative,35,35,1699599,65100,304444,192850,562394,-2520,54901,241923,1
optimistic,70,65,3600467,130200,521562,339500,991262,114929,316427,3057726,1
high_cs_rate,52,50,2616488,96720,498754,310544,906018,-6560,44290,75640,1
price_stress,52,50,2522685,96720,420910,269360,786990,43237,129249,1127899,1
